Latitude,Longitude,Depth,Day,Month,Year,Reference,Method,Emiliania huxleyi,Gephyrocapsa ericsonii,Florisphaera profunda,Umbellosphaera irregularis,Umbellosphaera tenuis
22.345,-158.3,5,18,1,1994,Cortes2001,SEM,1050.0,78.0,0.0,467.0,350.0
22.345,-158.3,10,18,1,1994,Cortes2001,SEM,233.0,39.0,0.0,233.0,272.0
22.345,-158.3,25,18,1,1994,Cortes2001,SEM,1287.0,0.0,0.0,390.0,663.0
22.345,-158.3,50,18,1,1994,Cortes2001,SEM,0.0,0.0,0.0,0.0,78.0
22.345,-158.3,75,18,1,1994,Cortes2001,SEM,272.0,39.0,0.0,78.0,194.0
22.345,-158.3,100,18,1,1994,Cortes2001,SEM,595.0,0.0,2658.0,0.0,0.0
22.345,-158.3,150,18,1,1994,Cortes2001,SEM,0.0,0.0,962.0,0.0,0.0
22.345,-158.3,200,18,1,1994,Cortes2001,SEM,0.0,0.0,0.0,0.0,0.0
22.345,-158.3,5,15,2,1994,Cortes2001,SEM,1847.0,665.0,0.0,226.0,213.0
22.345,-158.3,10,15,2,1994,Cortes2001,SEM,2557.0,2216.0,0.0,1619.0,724.0
22.345,-158.3,25,15,2,1994,Cortes2001,SEM,4586.0,3958.0,63.0,1571.0,691.0
22.345,-158.3,50,15,2,1994,Cortes2001,SEM,7048.0,7493.0,223.0,1335.0,742.0
22.345,-158.3,75,15,2,1994,Cortes2001,SEM,4934.0,7018.0,0.0,1807.0,3057.0
22.345,-158.3,100,15,2,1994,Cortes2001,SEM,5927.0,1648.0,0.0,380.0,222.0
22.345,-158.3,150,15,2,1994,Cortes2001,SEM,1906.0,0.0,3369.0,0.0,19.0
22.345,-158.3,200,15,2,1994,Cortes2001,SEM,126.0,0.0,502.0,0.0,0.0
22.345,-158.3,5,3,7,1994,Cortes2001,SEM,477.0,358.0,0.0,119.0,895.0
22.345,-158.3,10,3,7,1994,Cortes2001,SEM,503.0,377.0,0.0,377.0,1822.0
22.345,-158.3,25,3,7,1994,Cortes2001,SEM,2801.0,1844.0,0.0,1666.0,3155.0
22.345,-158.3,50,3,7,1994,Cortes2001,SEM,4650.0,2087.0,0.0,2623.0,5783.0
22.345,-158.3,75,3,7,1994,Cortes2001,SEM,4082.0,7932.0,0.0,4549.0,6998.0
22.345,-158.3,100,3,7,1994,Cortes2001,SEM,8002.0,6524.0,0.0,2609.0,3914.0
22.345,-158.3,150,3,7,1994,Cortes2001,SEM,3518.0,0.0,3967.0,0.0,150.0
22.345,-158.3,200,3,7,1994,Cortes2001,SEM,1313.0,77.0,3501.0,0.0,0.0
22.345,-158.3,5,17,6,1994,Cortes2001,SEM,218.0,31.0,16.0,421.0,452.0
22.345,-158.3,10,17,6,1994,Cortes2001,SEM,118.0,0.0,0.0,207.0,59.0
22.345,-158.3,25,17,6,1994,Cortes2001,SEM,80.0,0.0,0.0,0.0,80.0
22.345,-158.3,50,17,6,1994,Cortes2001,SEM,264.0,198.0,33.0,1486.0,2873.0
22.345,-158.3,75,17,6,1994,Cortes2001,SEM,521.0,1203.0,0.0,1483.0,3408.0
22.345,-158.3,100,17,6,1994,Cortes2001,SEM,854.0,1630.0,0.0,1708.0,6947.0
22.345,-158.3,150,17,6,1994,Cortes2001,SEM,1150.0,278.0,14321.0,238.0,198.0
22.345,-158.3,200,17,6,1994,Cortes2001,SEM,155.0,0.0,621.0,0.0,0.0
22.345,-158.3,5,28,8,1994,Cortes2001,SEM,78.0,0.0,0.0,12175.0,1089.0
22.345,-158.3,10,28,8,1994,Cortes2001,SEM,239.0,40.0,0.0,16123.0,1433.0
22.345,-158.3,25,28,8,1994,Cortes2001,SEM,155.0,0.0,0.0,8344.0,466.0
22.345,-158.3,50,28,8,1994,Cortes2001,SEM,79.0,0.0,0.0,7696.0,1150.0
22.345,-158.3,75,28,8,1994,Cortes2001,SEM,0.0,0.0,0.0,,233.0
22.345,-158.3,150,28,8,1994,Cortes2001,SEM,4665.0,196.0,4351.0,39.0,510.0
22.345,-158.3,200,28,8,1994,Cortes2001,SEM,1321.0,240.0,1402.0,120.0,360.0
22.345,-158.3,5,21,9,1994,Cortes2001,SEM,390.0,39.0,0.0,11384.0,585.0
22.345,-158.3,10,21,9,1994,Cortes2001,SEM,392.0,39.0,0.0,11201.0,274.0
22.345,-158.3,25,21,9,1994,Cortes2001,SEM,841.0,0.0,0.0,10011.0,1121.0
22.345,-158.3,50,21,9,1994,Cortes2001,SEM,621.0,0.0,0.0,10012.0,582.0
22.345,-158.3,75,21,9,1994,Cortes2001,SEM,1764.0,1924.0,0.0,19885.0,13070.0
22.345,-158.3,100,21,9,1994,Cortes2001,SEM,3260.0,10633.0,0.0,2018.0,1242.0
22.345,-158.3,150,21,9,1994,Cortes2001,SEM,79.0,516.0,11940.0,1190.0,40.0
22.345,-158.3,200,21,9,1994,Cortes2001,SEM,0.0,0.0,1035.0,259.0,0.0
22.345,-158.3,5,13,10,1994,Cortes2001,SEM,311.0,39.0,0.0,7313.0,778.0
22.345,-158.3,10,13,10,1994,Cortes2001,SEM,555.0,0.0,0.0,7726.0,951.0
22.345,-158.3,25,13,10,1994,Cortes2001,SEM,349.0,0.0,0.0,7102.0,815.0
22.345,-158.3,50,13,10,1994,Cortes2001,SEM,436.0,0.0,0.0,4205.0,595.0
22.345,-158.3,75,13,10,1994,Cortes2001,SEM,1319.0,12884.0,0.0,7141.0,5511.0
22.345,-158.3,100,13,10,1994,Cortes2001,SEM,722.0,4891.0,0.0,11787.0,16357.0
22.345,-158.3,150,13,10,1994,Cortes2001,SEM,466.0,194.0,3570.0,388.0,505.0
22.345,-158.3,200,13,10,1994,Cortes2001,SEM,0.0,0.0,0.0,0.0,0.0
22.345,-158.3,5,17,11,1994,Cortes2001,SEM,0.0,0.0,0.0,0.0,0.0
22.345,-158.3,10,17,11,1994,Cortes2001,SEM,0.0,0.0,0.0,1075.0,112.0
22.345,-158.3,25,17,11,1994,Cortes2001,SEM,22.0,0.0,0.0,502.0,175.0
22.345,-158.3,75,17,11,1994,Cortes2001,SEM,131.0,0.0,0.0,873.0,218.0
22.345,-158.3,100,17,11,1994,Cortes2001,SEM,113.0,90.0,677.0,496.0,271.0
22.345,-158.3,150,17,11,1994,Cortes2001,SEM,65.0,109.0,1834.0,196.0,65.0
22.345,-158.3,200,17,11,1994,Cortes2001,SEM,0.0,0.0,135.0,0.0,0.0
22.345,-158.3,5,2,4,1995,Cortes2001,SEM,10090.0,2639.0,0.0,5472.0,4230.0
22.345,-158.3,25,2,4,1995,Cortes2001,SEM,8291.0,3412.0,0.0,7180.0,1904.0
22.345,-158.3,75,2,4,1995,Cortes2001,SEM,1002.0,40.0,0.0,762.0,1243.0
22.345,-158.3,100,2,4,1995,Cortes2001,SEM,5744.0,1242.0,0.0,3687.0,1863.0
22.345,-158.3,150,2,4,1995,Cortes2001,SEM,862.0,0.0,3094.0,39.0,117.0
22.345,-158.3,5,3,2,1995,Cortes2001,SEM,3816.0,893.0,0.0,1502.0,2151.0
22.345,-158.3,10,3,2,1995,Cortes2001,SEM,3816.0,122.0,0.0,1015.0,1908.0
22.345,-158.3,25,3,2,1995,Cortes2001,SEM,3183.0,314.0,0.0,1218.0,1650.0
22.345,-158.3,50,3,2,1995,Cortes2001,SEM,19016.0,1630.0,0.0,2755.0,3764.0
22.345,-158.3,75,3,2,1995,Cortes2001,SEM,19909.0,1436.0,116.0,1940.0,2600.0
22.345,-158.3,100,3,2,1995,Cortes2001,SEM,3842.0,310.0,14126.0,0.0,0.0
22.345,-158.3,150,3,2,1995,Cortes2001,SEM,392.0,157.0,783.0,0.0,0.0
22.345,-158.3,200,3,2,1995,Cortes2001,SEM,157.0,0.0,274.0,117.0,0.0
22.345,-158.3,5,4,4,1995,Cortes2001,SEM,1673.0,311.0,0.0,778.0,194.0
22.345,-158.3,10,4,4,1995,Cortes2001,SEM,2787.0,159.0,0.0,995.0,478.0
22.345,-158.3,25,4,4,1995,Cortes2001,SEM,3299.0,543.0,0.0,2949.0,1940.0
22.345,-158.3,50,4,4,1995,Cortes2001,SEM,4760.0,595.0,0.0,3332.0,2142.0
22.345,-158.3,75,4,4,1995,Cortes2001,SEM,2678.0,1281.0,0.0,5278.0,6326.0
22.345,-158.3,100,4,4,1995,Cortes2001,SEM,3568.0,1042.0,0.0,3328.0,5813.0
22.345,-158.3,150,4,4,1995,Cortes2001,SEM,4347.0,427.0,931.0,39.0,310.0
22.345,-158.3,200,4,4,1995,Cortes2001,SEM,681.0,0.0,681.0,0.0,40.0
22.345,-158.3,5,5,5,1995,Cortes2001,SEM,1595.0,583.0,0.0,1167.0,1245.0
22.345,-158.3,10,5,5,1995,Cortes2001,SEM,1154.0,318.0,0.0,637.0,677.0
22.345,-158.3,25,5,5,1995,Cortes2001,SEM,1397.0,272.0,0.0,699.0,1009.0
22.345,-158.3,50,5,5,1995,Cortes2001,SEM,6664.0,1983.0,238.0,1349.0,2698.0
22.345,-158.3,75,5,5,1995,Cortes2001,SEM,1940.0,1940.0,0.0,1203.0,2173.0
22.345,-158.3,100,5,5,1995,Cortes2001,SEM,1123.0,3207.0,0.0,1443.0,2205.0
22.345,-158.3,150,5,5,1995,Cortes2001,SEM,2406.0,427.0,1824.0,0.0,39.0
22.345,-158.3,200,5,5,1995,Cortes2001,SEM,1482.0,160.0,1161.0,0.0,0.0
22.345,-158.3,5,28,7,1995,Cortes2001,SEM,335.0,0.0,0.0,1933.0,706.0
22.345,-158.3,10,28,7,1995,Cortes2001,SEM,490.0,82.0,0.0,3960.0,980.0
22.345,-158.3,25,28,7,1995,Cortes2001,SEM,382.0,0.0,38.0,5660.0,994.0
22.345,-158.3,50,28,7,1995,Cortes2001,SEM,403.0,242.0,0.0,8696.0,6200.0
22.345,-158.3,75,28,7,1995,Cortes2001,SEM,1226.0,2988.0,0.0,3295.0,5555.0
22.345,-158.3,100,28,7,1995,Cortes2001,SEM,1486.0,1084.0,0.0,80.0,321.0
22.345,-158.3,150,28,7,1995,Cortes2001,SEM,275.0,0.0,2829.0,0.0,0.0
22.345,-158.3,200,28,7,1995,Cortes2001,SEM,1368.0,241.0,603.0,0.0,161.0
22.345,-158.3,5,27,8,1995,Cortes2001,SEM,39.0,0.0,0.0,394.0,39.0
22.345,-158.3,25,27,8,1995,Cortes2001,SEM,79.0,0.0,0.0,157.0,
22.345,-158.3,50,27,8,1995,Cortes2001,SEM,120.0,0.0,0.0,1125.0,281.0
22.345,-158.3,75,27,8,1995,Cortes2001,SEM,118.0,0.0,0.0,1650.0,825.0
22.345,-158.3,100,27,8,1995,Cortes2001,SEM,934.0,41.0,41.0,0.0,122.0
22.345,-158.3,200,27,8,1995,Cortes2001,SEM,0.0,0.0,487.0,0.0,0.0
22.345,-158.3,5,24,9,1995,Cortes2001,SEM,0.0,39.0,0.0,6630.0,39.0
22.345,-158.3,10,24,9,1995,Cortes2001,SEM,40.0,0.0,0.0,9355.0,239.0
22.345,-158.3,25,24,9,1995,Cortes2001,SEM,116.0,0.0,0.0,9159.0,194.0
22.345,-158.3,50,24,9,1995,Cortes2001,SEM,476.0,1745.0,0.0,4721.0,4165.0
22.345,-158.3,75,24,9,1995,Cortes2001,SEM,3571.0,5240.0,0.0,1708.0,3494.0
22.345,-158.3,100,24,9,1995,Cortes2001,SEM,4691.0,5893.0,0.0,2486.0,4450.0
22.345,-158.3,150,24,9,1995,Cortes2001,SEM,776.0,194.0,1552.0,155.0,39.0
22.345,-158.3,200,24,9,1995,Cortes2001,SEM,360.0,40.0,1682.0,120.0,
22.345,-158.3,5,25,10,1995,Cortes2001,SEM,354.0,0.0,0.0,4884.0,394.0
22.345,-158.3,10,25,10,1995,Cortes2001,SEM,81.0,0.0,0.0,1653.0,121.0
22.345,-158.3,50,25,10,1995,Cortes2001,SEM,80.0,0.0,0.0,2048.0,80.0
22.345,-158.3,75,25,10,1995,Cortes2001,SEM,2593.0,550.0,0.0,9037.0,5658.0
22.345,-158.3,100,25,10,1995,Cortes2001,SEM,3978.0,3410.0,0.0,3085.0,2923.0
22.345,-158.3,150,25,10,1995,Cortes2001,SEM,275.0,39.0,3497.0,0.0,79.0
22.345,-158.3,200,25,10,1995,Cortes2001,SEM,122.0,0.0,527.0,0.0,162.0
22.345,-158.3,5,15,11,1995,Cortes2001,SEM,158.0,0.0,0.0,866.0,118.0
22.345,-158.3,10,15,11,1995,Cortes2001,SEM,161.0,0.0,0.0,1330.0,242.0
22.345,-158.3,25,15,11,1995,Cortes2001,SEM,236.0,0.0,0.0,786.0,
22.345,-158.3,50,15,11,1995,Cortes2001,SEM,201.0,0.0,0.0,602.0,80.0
22.345,-158.3,75,15,11,1995,Cortes2001,SEM,275.0,432.0,0.0,1375.0,589.0
22.345,-158.3,100,15,11,1995,Cortes2001,SEM,1886.0,2207.0,8467.0,40.0,40.0
22.345,-158.3,200,15,11,1995,Cortes2001,SEM,41.0,41.0,122.0,0.0,0.0
22.345,-158.3,5,15,1,1996,Cortes2001,SEM,1323.0,529.0,0.0,5367.0,1020.0
22.345,-158.3,10,15,1,1996,Cortes2001,SEM,822.0,176.0,0.0,3936.0,470.0
22.345,-158.3,25,15,1,1996,Cortes2001,SEM,,,,,
22.345,-158.3,50,15,1,1996,Cortes2001,SEM,,,,,
22.345,-158.3,75,15,1,1996,Cortes2001,SEM,,,,,
22.345,-158.3,100,15,1,1996,Cortes2001,SEM,,,,,
22.345,-158.3,150,15,1,1996,Cortes2001,SEM,,,,,
22.345,-158.3,200,15,1,1996,Cortes2001,SEM,,,,,
22.345,-158.3,5,25,3,1996,Cortes2001,SEM,2181.0,459.0,0.0,765.0,459.0
22.345,-158.3,10,25,3,1996,Cortes2001,SEM,2076.0,431.0,0.0,744.0,548.0
22.345,-158.3,25,25,3,1996,Cortes2001,SEM,1718.0,840.0,0.0,993.0,420.0
22.345,-158.3,50,25,3,1996,Cortes2001,SEM,2029.0,507.0,0.0,1444.0,585.0
22.345,-158.3,75,25,3,1996,Cortes2001,SEM,1642.0,344.0,0.0,611.0,725.0
22.345,-158.3,100,25,3,1996,Cortes2001,SEM,4141.0,2643.0,118.0,,39.0
22.345,-158.3,150,25,3,1996,Cortes2001,SEM,458.0,76.0,5383.0,115.0,38.0
22.345,-158.3,200,25,3,1996,Cortes2001,SEM,236.0,0.0,749.0,,39.0
22.345,-158.3,5,22,4,1996,Cortes2001,SEM,889.0,212.0,0.0,1863.0,1016.0
22.345,-158.3,10,22,4,1996,Cortes2001,SEM,944.0,270.0,0.0,2203.0,1394.0
22.345,-158.3,25,22,4,1996,Cortes2001,SEM,864.0,123.0,0.0,1646.0,987.0
22.345,-158.3,50,22,4,1996,Cortes2001,SEM,1410.0,0.0,0.0,2631.0,1738.0
22.345,-158.3,75,22,4,1996,Cortes2001,SEM,2767.0,541.0,0.0,6076.0,4632.0
22.345,-158.3,100,22,4,1996,Cortes2001,SEM,2248.0,1716.0,0.0,2781.0,3964.0
22.345,-158.3,150,22,4,1996,Cortes2001,SEM,1947.0,1546.0,2119.0,57.0,0.0
22.345,-158.3,200,22,4,1996,Cortes2001,SEM,158.0,39.0,552.0,0.0,0.0
22.345,-158.3,5,20,5,1996,Cortes2001,SEM,153.0,0.0,0.0,880.0,268.0
22.345,-158.3,10,20,5,1996,Cortes2001,SEM,470.0,39.0,0.0,1880.0,274.0
22.345,-158.3,25,20,5,1996,Cortes2001,SEM,344.0,76.0,0.0,2749.0,649.0
22.345,-158.3,50,20,5,1996,Cortes2001,SEM,878.0,585.0,0.0,6615.0,4332.0
22.345,-158.3,75,20,5,1996,Cortes2001,SEM,1203.0,744.0,0.0,7502.0,7159.0
22.345,-158.3,100,20,5,1996,Cortes2001,SEM,5916.0,2366.0,177.0,59.0,355.0
22.345,-158.3,150,20,5,1996,Cortes2001,SEM,744.0,115.0,11339.0,57.0,
22.345,-158.3,200,20,5,1996,Cortes2001,SEM,3368.0,709.0,1300.0,0.0,59.0
22.345,-158.3,5,24,6,1996,Cortes2001,SEM,383.0,0.0,0.0,1952.0,230.0
22.345,-158.3,10,24,6,1996,Cortes2001,SEM,157.0,0.0,0.0,117.0,39.0
22.345,-158.3,25,24,6,1996,Cortes2001,SEM,0.0,0.0,0.0,0.0,0.0
22.345,-158.3,50,24,6,1996,Cortes2001,SEM,312.0,39.0,0.0,1015.0,585.0
22.345,-158.3,75,24,6,1996,Cortes2001,SEM,0.0,0.0,0.0,0.0,0.0
22.345,-158.3,100,24,6,1996,Cortes2001,SEM,887.0,947.0,0.0,828.0,2248.0
22.345,-158.3,150,24,6,1996,Cortes2001,SEM,382.0,1031.0,5651.0,153.0,382.0
22.345,-158.3,200,24,6,1996,Cortes2001,SEM,236.0,0.0,906.0,,79.0
22.345,-158.3,5,25,7,1996,Cortes2001,SEM,304.0,0.0,0.0,2218.0,130.0
22.345,-158.3,10,25,7,1996,Cortes2001,SEM,178.0,0.0,0.0,3872.0,89.0
22.345,-158.3,25,25,7,1996,Cortes2001,SEM,130.0,0.0,0.0,3688.0,260.0
22.345,-158.3,50,25,7,1996,Cortes2001,SEM,1020.0,0.0,0.0,3770.0,2838.0
22.345,-158.3,75,25,7,1996,Cortes2001,SEM,868.0,0.0,0.0,5423.0,4382.0
22.345,-158.3,100,25,7,1996,Cortes2001,SEM,493.0,0.0,0.0,1165.0,717.0
22.345,-158.3,150,25,7,1996,Cortes2001,SEM,330.0,0.0,15044.0,47.0,0.0
22.345,-158.3,200,25,7,1996,Cortes2001,SEM,224.0,0.0,5148.0,0.0,0.0
22.345,-158.3,5,18,8,1995,Cortes2001,SEM,0.0,0.0,0.0,9784.0,1131.0
22.345,-158.3,10,18,8,1995,Cortes2001,SEM,0.0,0.0,0.0,0.0,0.0
22.345,-158.3,25,18,8,1995,Cortes2001,SEM,174.0,0.0,0.0,8373.0,1475.0
22.345,-158.3,50,18,8,1995,Cortes2001,SEM,177.0,0.0,0.0,12462.0,4701.0
22.345,-158.3,75,18,8,1995,Cortes2001,SEM,694.0,2690.0,1866.0,10933.0,4859.0
22.345,-158.3,100,18,8,1995,Cortes2001,SEM,1849.0,5599.0,,4913.0,2588.0
22.345,-158.3,150,18,8,1995,Cortes2001,SEM,217.0,0.0,14881.0,130.0,0.0
22.345,-158.3,200,18,8,1995,Cortes2001,SEM,134.0,0.0,1119.0,90.0,0.0
